Time:19.61684 Axis vector:(-0.1, -0.5) Thumbrotation:-163.4197
Time:19.71744 Axis vector:(-0.1, -0.5) Thumbrotation:-163.3809
Time:19.8179 Axis vector:(-0.1, -0.5) Thumbrotation:-163.3406
Time:19.91883 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2966
Time:20.01925 Axis vector:(-0.1, -0.5) Thumbrotation:-163.251
Time:20.11957 Axis vector:(-0.1, -0.5) Thumbrotation:-163.2015
Time:20.22029 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1749
Time:20.32051 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1629
Time:20.42109 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1452
Time:20.52166 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1221
Time:20.62228 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0952
Time:20.72278 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0685
Time:20.82335 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0544
Time:20.92382 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0488
Time:21.02428 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0594
Time:21.12488 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0702
Time:21.22586 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0913
Time:21.33711 Axis vector:(-0.1, -0.5) Thumbrotation:-163.108
Time:21.43764 Axis vector:(-0.1, -0.5) Thumbrotation:-163.1111
Time:21.53823 Axis vector:(-0.1, -0.5) Thumbrotation:-163.126
Time:21.63874 Axis vector:(-0.1, -0.5) Thumbrotation:-163.0386
Time:21.73921 Axis vector:(-0.2, -0.5) Thumbrotation:-158.4427
Time:21.83961 Axis vector:(-0.3, -0.5) Thumbrotation:-143.1301
Time:21.94013 Axis vector:(-0.4, -0.5) Thumbrotation:-136.8646
Time:22.04071 Axis vector:(-0.5, -0.4) Thumbrotation:-132.1626
Time:22.14132 Axis vector:(-0.5, -0.4) Thumbrotation:-127.2074
Time:22.24166 Axis vector:(-0.6, -0.4) Thumbrotation:-123.2149
Time:22.34227 Axis vector:(-0.6, -0.4) Thumbrotation:-121.9277
Time:22.44319 Axis vector:(-0.6, -0.4) Thumbrotation:-121.6715
