Start time:0.1206922
Time:46.53044 Axis vector:(0.0, 0.5) Thumbrotation:1.939771
Time:46.63088 Axis vector:(0.0, 0.5) Thumbrotation:2.083938
Time:46.73111 Axis vector:(0.0, 0.5) Thumbrotation:2.005353
Time:46.83175 Axis vector:(0.0, 0.5) Thumbrotation:1.881904
Time:46.93231 Axis vector:(0.0, 0.4) Thumbrotation:4.493268
Time:47.03284 Axis vector:(0.1, 0.4) Thumbrotation:8.098055
-------New Trial--------
Start time:51.11718
Time:52.44421 Axis vector:(0.3, 0.3) Thumbrotation:41.14298
Time:52.54791 Axis vector:(0.2, 0.4) Thumbrotation:30.82877
Time:52.65655 Axis vector:(0.1, 0.4) Thumbrotation:18.85176
Time:52.75698 Axis vector:(0.1, 0.4) Thumbrotation:16.02268
Time:52.85743 Axis vector:(0.1, 0.4) Thumbrotation:14.83134
Time:52.95806 Axis vector:(0.1, 0.4) Thumbrotation:13.44155
Time:53.05847 Axis vector:(0.1, 0.5) Thumbrotation:15.03037
Time:53.15917 Axis vector:(0.2, 0.4) Thumbrotation:26.90034
Time:53.25947 Axis vector:(0.6, 0.4) Thumbrotation:54.46133
Time:53.36017 Axis vector:(0.6, 0.5) Thumbrotation:50.2619
Time:53.46069 Axis vector:(0.3, 0.8) Thumbrotation:18.64656
Time:53.56112 Axis vector:(0.2, 0.9) Thumbrotation:9.767547
Time:53.6619 Axis vector:(0.1, 0.9) Thumbrotation:7.989129
Time:53.76251 Axis vector:(0.1, 0.8) Thumbrotation:8.134484
Time:53.86288 Axis vector:(0.1, 0.8) Thumbrotation:8.497846
Time:53.96335 Axis vector:(0.1, 0.7) Thumbrotation:9.04494
Time:54.06383 Axis vector:(0.1, 0.7) Thumbrotation:9.393103
Time:54.16424 Axis vector:(0.1, 0.7) Thumbrotation:9.54108
Time:54.26503 Axis vector:(0.1, 0.7) Thumbrotation:9.343022
Time:54.36522 Axis vector:(0.1, 0.7) Thumbrotation:11.21814
Time:58.08495 Axis vector:(0.0, 0.6) Thumbrotation:-3.745857
Time:58.18539 Axis vector:(-0.1, 0.7) Thumbrotation:-4.442017
Time:58.28597 Axis vector:(-0.1, 0.8) Thumbrotation:-4.739583
Time:58.38671 Axis vector:(-0.1, 0.8) Thumbrotation:-5.20733
Time:58.48701 Axis vector:(-0.1, 0.8) Thumbrotation:-4.71393
Time:58.58767 Axis vector:(-0.1, 0.8) Thumbrotation:-4.085668
Time:58.6884 Axis vector:(0.0, 0.8) Thumbrotation:-3.768059
Time:58.78847 Axis vector:(0.0, 0.7) Thumbrotation:-3.613517
Time:58.88898 Axis vector:(0.0, 0.7) Thumbrotation:-3.366913
Time:58.98961 Axis vector:(0.0, 0.7) Thumbrotation:-2.909259
Time:59.09013 Axis vector:(0.0, 0.7) Thumbrotation:-2.413381
Time:59.19073 Axis vector:(0.0, 0.7) Thumbrotation:-1.798527
Time:59.29137 Axis vector:(0.0, 0.7) Thumbrotation:-1.044552
Time:59.39183 Axis vector:(0.0, 0.7) Thumbrotation:-0.7828471
Time:59.49225 Axis vector:(0.0, 0.7) Thumbrotation:-0.6558113
Time:59.59279 Axis vector:(0.0, 0.7) Thumbrotation:-0.2639296
Time:59.69326 Axis vector:(0.0, 0.7) Thumbrotation:0.0656106
Time:59.79385 Axis vector:(0.0, 0.7) Thumbrotation:0.2422834
Time:59.89467 Axis vector:(0.0, 0.7) Thumbrotation:0.3700944
Time:59.99537 Axis vector:(0.0, 0.7) Thumbrotation:0.4685547
Time:60.10673 Axis vector:(0.0, 0.7) Thumbrotation:0.5185105
Time:60.20698 Axis vector:(0.0, 0.7) Thumbrotation:0.5442861
Time:60.30763 Axis vector:(0.0, 0.6) Thumbrotation:0.5630175
