Start time:0.3071694
Time:54.31304 Axis vector:(0.8, 0.2) Thumbrotation:78.94361
Time:54.43744 Axis vector:(0.8, 0.2) Thumbrotation:79.50204
Time:54.56322 Axis vector:(0.9, 0.1) Thumbrotation:81.29057
Time:54.69133 Axis vector:(0.9, 0.1) Thumbrotation:82.27031
Time:54.80183 Axis vector:(0.9, 0.1) Thumbrotation:82.55289
Time:54.92536 Axis vector:(0.9, 0.1) Thumbrotation:82.14361
Time:55.61549 Axis vector:(0.0, 0.9) Thumbrotation:-1.242381
Time:55.7388 Axis vector:(0.0, 0.9) Thumbrotation:-0.8168523
Time:55.86063 Axis vector:(0.0, 0.8) Thumbrotation:-0.7316842
Time:55.97461 Axis vector:(0.0, 0.8) Thumbrotation:-0.4092611
Time:56.09733 Axis vector:(0.0, 0.8) Thumbrotation:-0.234068
Time:56.20201 Axis vector:(0.0, 0.8) Thumbrotation:-0.4173099
Time:56.31188 Axis vector:(0.0, 0.8) Thumbrotation:-0.9522384
Time:56.42141 Axis vector:(0.0, 0.8) Thumbrotation:-0.8755867
Time:56.53083 Axis vector:(0.0, 0.8) Thumbrotation:-0.5567266
Time:56.64008 Axis vector:(0.0, 0.8) Thumbrotation:0.1027921
Time:56.75243 Axis vector:(0.0, 0.8) Thumbrotation:0.9867525
Time:56.85967 Axis vector:(0.0, 0.7) Thumbrotation:1.566855
Time:57.00066 Axis vector:(0.0, 0.7) Thumbrotation:1.717486
Time:57.11429 Axis vector:(0.0, 0.7) Thumbrotation:1.709491
Time:57.23591 Axis vector:(0.0, 0.7) Thumbrotation:1.778393
Time:57.3527 Axis vector:(0.0, 0.7) Thumbrotation:1.84875
Time:57.46865 Axis vector:(0.0, 0.7) Thumbrotation:1.923662
Time:57.57998 Axis vector:(0.0, 0.7) Thumbrotation:1.962241
Time:57.69364 Axis vector:(0.0, 0.7) Thumbrotation:1.969508
Time:57.79966 Axis vector:(0.0, 0.7) Thumbrotation:1.968713
Time:57.91259 Axis vector:(0.0, 0.7) Thumbrotation:1.963637
Time:58.02317 Axis vector:(0.0, 0.7) Thumbrotation:1.960744
Time:58.14168 Axis vector:(0.0, 0.7) Thumbrotation:1.952943
Time:58.25149 Axis vector:(0.0, 0.7) Thumbrotation:1.950436
Time:58.36372 Axis vector:(0.0, 0.7) Thumbrotation:1.942493
Time:58.49681 Axis vector:(0.0, 0.7) Thumbrotation:1.501026
