Start time:0.1739149
Time:27.88807 Axis vector:(-0.1, 0.6) Thumbrotation:-8.500596
Time:27.9885 Axis vector:(-0.1, 0.6) Thumbrotation:-8.507939
Time:28.08926 Axis vector:(-0.1, 0.6) Thumbrotation:-8.512094
Time:28.20093 Axis vector:(-0.1, 0.6) Thumbrotation:-8.520695
Time:28.30147 Axis vector:(-0.1, 0.6) Thumbrotation:-8.528735
Time:28.40192 Axis vector:(-0.1, 0.6) Thumbrotation:-8.539459
Time:28.50241 Axis vector:(-0.1, 0.6) Thumbrotation:-8.560386
Time:28.6028 Axis vector:(-0.1, 0.6) Thumbrotation:-8.573843
Time:28.70337 Axis vector:(-0.1, 0.6) Thumbrotation:-8.586272
Time:28.80388 Axis vector:(-0.1, 0.6) Thumbrotation:-8.580964
Time:28.90443 Axis vector:(-0.1, 0.6) Thumbrotation:-8.578767
Time:29.00502 Axis vector:(-0.1, 0.6) Thumbrotation:-8.579774
Time:29.10537 Axis vector:(-0.1, 0.6) Thumbrotation:-8.581947
Time:29.20617 Axis vector:(-0.1, 0.6) Thumbrotation:-8.584671
Time:29.3069 Axis vector:(-0.1, 0.6) Thumbrotation:-8.564606
Time:29.40725 Axis vector:(-0.1, 0.6) Thumbrotation:-8.526224
Time:29.50754 Axis vector:(-0.1, 0.6) Thumbrotation:-8.477392
Time:29.60817 Axis vector:(-0.1, 0.6) Thumbrotation:-8.454403
Time:29.70892 Axis vector:(-0.1, 0.6) Thumbrotation:-8.443805
Time:29.80909 Axis vector:(-0.1, 0.6) Thumbrotation:-8.445247
Time:29.9097 Axis vector:(-0.1, 0.6) Thumbrotation:-8.447548
Time:30.01022 Axis vector:(-0.1, 0.6) Thumbrotation:-8.443432
Time:30.11084 Axis vector:(-0.1, 0.6) Thumbrotation:-8.420189
Time:30.21122 Axis vector:(-0.1, 0.6) Thumbrotation:-8.402726
Time:30.31186 Axis vector:(-0.1, 0.6) Thumbrotation:-8.408589
Time:30.41229 Axis vector:(-0.1, 0.6) Thumbrotation:-8.426553
Time:30.51296 Axis vector:(-0.1, 0.6) Thumbrotation:-8.459187
Time:30.61365 Axis vector:(-0.1, 0.6) Thumbrotation:-8.475631
Time:30.7139 Axis vector:(-0.1, 0.6) Thumbrotation:-8.491881
Time:30.81458 Axis vector:(-0.1, 0.6) Thumbrotation:-8.47767
Time:30.91494 Axis vector:(-0.1, 0.6) Thumbrotation:-8.450663
Time:31.01561 Axis vector:(-0.1, 0.6) Thumbrotation:-8.441059
Time:31.11628 Axis vector:(-0.1, 0.6) Thumbrotation:-8.440548
Time:31.21665 Axis vector:(-0.1, 0.6) Thumbrotation:-8.439804
Time:31.31718 Axis vector:(-0.1, 0.6) Thumbrotation:-8.413119
Time:31.41759 Axis vector:(-0.1, 0.6) Thumbrotation:-8.378855
Time:31.51809 Axis vector:(-0.1, 0.6) Thumbrotation:-8.348638
Time:31.6187 Axis vector:(-0.1, 0.6) Thumbrotation:-8.335739
Time:31.71947 Axis vector:(-0.1, 0.6) Thumbrotation:-8.317249
Time:31.81983 Axis vector:(-0.1, 0.6) Thumbrotation:-8.306312
Time:31.92041 Axis vector:(-0.1, 0.6) Thumbrotation:-8.316092
Time:32.02087 Axis vector:(-0.1, 0.6) Thumbrotation:-8.360178
Time:32.12132 Axis vector:(-0.1, 0.6) Thumbrotation:-8.378596
Time:32.22184 Axis vector:(-0.1, 0.6) Thumbrotation:-8.371023
Time:32.32235 Axis vector:(-0.1, 0.6) Thumbrotation:-8.355315
Time:32.42281 Axis vector:(-0.1, 0.6) Thumbrotation:-8.327514
Time:32.52356 Axis vector:(-0.1, 0.6) Thumbrotation:-8.313519
