Time:113.2716 Axis vector:(0.1, 0.7) Thumbrotation:6.527655
Time:113.3717 Axis vector:(0.1, 0.6) Thumbrotation:6.599033
Time:113.4722 Axis vector:(0.0, 0.7) Thumbrotation:3.473502
Time:113.5728 Axis vector:(-0.3, 0.6) Thumbrotation:-25.3995
Time:113.6734 Axis vector:(-0.6, 0.4) Thumbrotation:-51.79514
Time:113.7739 Axis vector:(-0.6, 0.3) Thumbrotation:-66.21917
Time:113.8744 Axis vector:(-0.6, 0.2) Thumbrotation:-71.84675
Time:113.9748 Axis vector:(-0.6, 0.2) Thumbrotation:-73.0814
Time:114.0755 Axis vector:(-0.6, 0.2) Thumbrotation:-73.06777
Time:114.1759 Axis vector:(-0.7, 0.2) Thumbrotation:-76.75722
Time:114.2768 Axis vector:(-0.7, 0.1) Thumbrotation:-82.49802
Time:114.3769 Axis vector:(-0.7, 0.1) Thumbrotation:-85.7674
Time:114.4778 Axis vector:(-0.7, 0.0) Thumbrotation:-92.71087
Time:114.5781 Axis vector:(-0.8, -0.1) Thumbrotation:-96.63077
Time:114.6788 Axis vector:(-0.8, -0.1) Thumbrotation:-97.90693
Time:114.7792 Axis vector:(-0.8, -0.1) Thumbrotation:-98.0308
Time:114.8797 Axis vector:(-0.8, -0.1) Thumbrotation:-97.24863
Time:114.9802 Axis vector:(-0.8, -0.1) Thumbrotation:-96.59541
Time:115.6841 Axis vector:(0.1, 0.7) Thumbrotation:4.845856
Time:115.7844 Axis vector:(0.0, 0.7) Thumbrotation:3.041695
Time:115.885 Axis vector:(0.0, 0.6) Thumbrotation:2.417432
Time:115.9854 Axis vector:(0.0, 0.6) Thumbrotation:2.961938
Time:116.0859 Axis vector:(0.1, 0.6) Thumbrotation:7.36916
Time:116.1864 Axis vector:(0.1, 0.6) Thumbrotation:9.01489
Time:116.2869 Axis vector:(0.1, 0.6) Thumbrotation:9.42692
Time:116.3878 Axis vector:(0.1, 0.6) Thumbrotation:9.292147
Time:116.4881 Axis vector:(0.1, 0.6) Thumbrotation:8.584785
Time:116.5885 Axis vector:(0.1, 0.6) Thumbrotation:6.227244
Time:116.6893 Axis vector:(0.0, 0.6) Thumbrotation:0.9421154
Time:116.7896 Axis vector:(0.0, 0.6) Thumbrotation:-1.832055
Time:116.8906 Axis vector:(0.0, 0.6) Thumbrotation:-3.192611
Time:116.9908 Axis vector:(0.0, 0.6) Thumbrotation:-3.215281
Time:117.0911 Axis vector:(0.0, 0.6) Thumbrotation:-2.764492
Time:117.192 Axis vector:(0.0, 0.6) Thumbrotation:-0.8106001
Time:117.2923 Axis vector:(0.0, 0.6) Thumbrotation:1.87273
Time:117.3931 Axis vector:(0.0, 0.6) Thumbrotation:3.348371
Time:117.4934 Axis vector:(0.0, 0.6) Thumbrotation:3.830424
Time:117.594 Axis vector:(0.0, 0.6) Thumbrotation:3.85097
Start time:0.1791632
Time:2.047914 Axis vector:(0.4, -0.8) Thumbrotation:155.4691
Time:2.147952 Axis vector:(0.4, -0.8) Thumbrotation:155.4984
Time:2.248493 Axis vector:(0.3, -0.7) Thumbrotation:159.497
Time:2.349005 Axis vector:(0.3, -0.7) Thumbrotation:159.6857
Time:2.449532 Axis vector:(0.2, -0.6) Thumbrotation:161.6127
Time:2.550746 Axis vector:(0.2, -0.6) Thumbrotation:162.0087
Time:2.651264 Axis vector:(0.2, -0.6) Thumbrotation:162.0833
Time:2.76225 Axis vector:(0.2, -0.6) Thumbrotation:162.0143
Time:2.863012 Axis vector:(0.2, -0.6) Thumbrotation:161.7972
Time:2.963485 Axis vector:(0.2, -0.6) Thumbrotation:161.1075
Time:3.063825 Axis vector:(0.2, -0.6) Thumbrotation:160.1663
Time:3.164433 Axis vector:(0.2, -0.7) Thumbrotation:159.6193
Time:3.265134 Axis vector:(0.3, -0.7) Thumbrotation:159.5121
Time:3.365521 Axis vector:(0.3, -0.7) Thumbrotation:157.7312
Time:5.086079 Axis vector:(-0.8, 0.6) Thumbrotation:-50.90874
Time:5.30922 Axis vector:(-0.4, 0.2) Thumbrotation:-68.24557
Time:5.410001 Axis vector:(-0.4, 0.2) Thumbrotation:-69.08208
Time:5.510518 Axis vector:(-0.4, 0.1) Thumbrotation:-79.96874
Time:5.610693 Axis vector:(-0.4, 0.1) Thumbrotation:-81.48869
Time:5.711442 Axis vector:(-0.4, 0.1) Thumbrotation:-79.56655
Time:5.811951 Axis vector:(-0.4, 0.1) Thumbrotation:-77.16787
Time:5.912597 Axis vector:(-0.4, 0.1) Thumbrotation:-73.73693
Time:6.013028 Axis vector:(-0.4, 0.2) Thumbrotation:-65.84043
Time:6.113401 Axis vector:(-0.4, 0.2) Thumbrotation:-62.52202
Time:6.214083 Axis vector:(-0.4, 0.2) Thumbrotation:-61.06277
Time:6.314755 Axis vector:(-0.4, 0.2) Thumbrotation:-56.95172
Time:6.415349 Axis vector:(-0.4, 0.3) Thumbrotation:-52.0323
Time:6.515558 Axis vector:(-0.1, 0.4) Thumbrotation:-18.16975
Time:6.616072 Axis vector:(0.3, 0.4) Thumbrotation:40.25315
Time:6.716757 Axis vector:(0.5, 0.2) Thumbrotation:69.97477
Time:6.817373 Axis vector:(0.6, 0.0) Thumbrotation:92.60484
Time:6.917622 Axis vector:(0.5, -0.1) Thumbrotation:105.1714
Time:7.018341 Axis vector:(0.5, -0.2) Thumbrotation:107.5735
Time:7.119038 Axis vector:(0.5, -0.2) Thumbrotation:107.6213
Time:7.219207 Axis vector:(0.5, -0.1) Thumbrotation:105.9248
Time:7.319689 Axis vector:(0.5, -0.1) Thumbrotation:99.01517
Time:7.420259 Axis vector:(0.5, 0.0) Thumbrotation:91.11626
Time:7.520993 Axis vector:(0.5, 0.0) Thumbrotation:88.52706
Time:7.622091 Axis vector:(0.5, 0.0) Thumbrotation:87.8744
Time:7.733128 Axis vector:(0.5, 0.0) Thumbrotation:87.73053
Time:7.833602 Axis vector:(0.5, 0.0) Thumbrotation:87.67273
