Start time:0.2050475
Start time:0.1293009
Start time:0.2259058
Start time:0.1436359
Time:4.349432 Axis vector:(0.1, 0.6) Thumbrotation:9.446208
Time:4.449989 Axis vector:(0.1, 0.6) Thumbrotation:9.538092
Time:4.550457 Axis vector:(0.1, 0.6) Thumbrotation:9.662167
Time:4.651012 Axis vector:(0.1, 0.6) Thumbrotation:9.833234
Time:4.751915 Axis vector:(0.1, 0.6) Thumbrotation:10.05892
Time:4.852307 Axis vector:(0.1, 0.5) Thumbrotation:11.3011
Time:4.952572 Axis vector:(0.1, 0.5) Thumbrotation:12.90367
Time:5.05312 Axis vector:(0.1, 0.5) Thumbrotation:13.17899
Time:5.153632 Axis vector:(0.1, 0.5) Thumbrotation:12.53196
Time:5.254168 Axis vector:(0.1, 0.5) Thumbrotation:11.61956
Time:5.354725 Axis vector:(0.1, 0.6) Thumbrotation:11.22733
Time:5.455245 Axis vector:(0.1, 0.6) Thumbrotation:11.06329
Time:5.555861 Axis vector:(0.1, 0.5) Thumbrotation:11.32837
Time:5.656208 Axis vector:(0.1, 0.5) Thumbrotation:11.6618
Time:5.756822 Axis vector:(0.1, 0.5) Thumbrotation:11.91721
Time:5.857497 Axis vector:(0.1, 0.5) Thumbrotation:12.04976
Time:5.958226 Axis vector:(0.1, 0.5) Thumbrotation:12.17505
Time:6.058537 Axis vector:(0.1, 0.5) Thumbrotation:12.27737
Time:6.159077 Axis vector:(0.1, 0.5) Thumbrotation:12.35534
Time:6.259432 Axis vector:(0.1, 0.5) Thumbrotation:12.41915
Time:6.360238 Axis vector:(0.1, 0.5) Thumbrotation:12.58316
Time:6.460678 Axis vector:(0.1, 0.5) Thumbrotation:12.78853
Time:6.560959 Axis vector:(0.1, 0.5) Thumbrotation:12.9935
Time:6.661555 Axis vector:(0.1, 0.5) Thumbrotation:13.32311
Time:6.762047 Axis vector:(0.1, 0.5) Thumbrotation:14.24233
Time:6.86259 Axis vector:(0.1, 0.4) Thumbrotation:15.20713
Time:6.963119 Axis vector:(0.1, 0.4) Thumbrotation:15.64987
Time:7.063879 Axis vector:(0.1, 0.4) Thumbrotation:15.81832
Time:7.164464 Axis vector:(0.1, 0.4) Thumbrotation:15.9941
Time:7.2647 Axis vector:(0.1, 0.4) Thumbrotation:16.07327
Time:7.365243 Axis vector:(0.1, 0.4) Thumbrotation:16.09083
Time:7.465804 Axis vector:(0.1, 0.4) Thumbrotation:16.11345
Time:7.566503 Axis vector:(0.1, 0.4) Thumbrotation:15.92506
Time:7.666955 Axis vector:(0.1, 0.4) Thumbrotation:15.46941
Time:7.76737 Axis vector:(0.1, 0.4) Thumbrotation:14.8064
Time:7.867908 Axis vector:(0.1, 0.5) Thumbrotation:13.49981
Time:7.968651 Axis vector:(0.1, 0.5) Thumbrotation:12.54956
Time:8.069034 Axis vector:(0.1, 0.5) Thumbrotation:12.01936
Time:8.169648 Axis vector:(0.1, 0.6) Thumbrotation:12.4007
Time:8.270301 Axis vector:(0.1, 0.6) Thumbrotation:12.9533
Time:8.370588 Axis vector:(0.1, 0.6) Thumbrotation:13.28384
Time:8.471111 Axis vector:(0.1, 0.6) Thumbrotation:13.47678
Time:8.571625 Axis vector:(0.1, 0.6) Thumbrotation:13.5675
Time:8.672358 Axis vector:(0.1, 0.6) Thumbrotation:13.65415
Time:8.772693 Axis vector:(0.1, 0.6) Thumbrotation:13.72162
Time:8.873264 Axis vector:(0.1, 0.6) Thumbrotation:13.78279
Time:8.973765 Axis vector:(0.1, 0.6) Thumbrotation:13.8338
Time:9.074358 Axis vector:(0.1, 0.6) Thumbrotation:13.85401
Time:9.174791 Axis vector:(0.1, 0.6) Thumbrotation:13.83321
Time:9.275286 Axis vector:(0.1, 0.6) Thumbrotation:13.79859
Time:9.376077 Axis vector:(0.1, 0.6) Thumbrotation:13.77081
Time:9.476341 Axis vector:(0.1, 0.6) Thumbrotation:13.75107
Time:9.577067 Axis vector:(0.1, 0.6) Thumbrotation:13.73251
Time:9.677381 Axis vector:(0.1, 0.6) Thumbrotation:13.72392
Time:9.777923 Axis vector:(0.1, 0.6) Thumbrotation:13.72137
Time:9.878565 Axis vector:(0.1, 0.6) Thumbrotation:13.51011
Time:9.978967 Axis vector:(0.1, 0.6) Thumbrotation:12.70034
Time:10.07951 Axis vector:(0.1, 0.7) Thumbrotation:11.60887
Time:10.18006 Axis vector:(0.1, 0.7) Thumbrotation:11.088
Time:10.28047 Axis vector:(0.1, 0.7) Thumbrotation:10.85212
Time:10.38116 Axis vector:(0.1, 0.7) Thumbrotation:10.67562
